Date,Open Price,High Price,Low Price,Close Price,No. of Shares
06-jun-23,2470.55,2507.00,2426.55,2433.70,292.51K
05-jun-23,2465.00,2514.00,2428.00,2433.95,116.19K
02-jun-23,2525.05,2535.00,2425.80,2444.95,297.09K
01-jun-23,2495.00,2535.70,2484.75,2492.25,165.32K
31-may-23,2482.30,2573.00,2427.35,2494.25,190.75K
30-may-23,2536.00,2552.40,2475.65,2495.40,74.03K
29-may-23,2555.05,2583.50,2525.00,2533.60,125.72K
26-may-23,2564.00,2600.00,2533.50,2543.35,174.25K
25-may-23,2437.00,2559.00,2385.35,2536.10,835.48K
24-may-23,2725.00,2751.25,2425.85,2476.90,1.93M
23-may-23,2427.00,2736.15,2400.15,2632.25,2.03M
22-may-23,2017.00,2344.50,1985.00,2325.55,3.19M
19-may-23,1892.00,1982.35,1873.60,1956.90,453.82K
18-may-23,1917.90,1919.90,1881.00,1888.05,249.20K
17-may-23,1892.15,1920.00,1858.95,1899.60,259.73K
16-may-23,1929.00,1934.80,1880.40,1887.80,262.69K
15-may-23,1964.00,1964.00,1878.90,1915.75,462.85K
12-may-23,2010.00,2011.85,1947.45,1964.80,235.43K
11-may-23,1923.00,2013.50,1916.65,1984.60,438.94K
10-may-23,1902.95,1914.75,1884.15,1892.10,125.26K
09-may-23,1895.35,1929.95,1888.75,1895.15,306.78K
08-may-23,1925.00,1925.00,1875.00,1887.65,315.30K
