Date,Open Price,High Price,Low Price,Close Price,No.of Shares
06-Jun-23,3207.75,3238.90,3195.00,3212.75,577700
05-Jun-23,3239.95,3239.95,3195.00,3199.75,492570
02-Jun-23,3239.40,3249.95,3219.00,3237.25,781970
01-Jun-23,3235.35,3249.90,3207.00,3240.70,1100000
31-May-23,3151.95,3219.35,3136.45,3192.95,2350000
30-May-23,3146.90,3155.00,3127.55,3144.40,506030
29-May-23,3147.20,3155.00,3116.05,3137.40,535710
26-May-23,3123.00,3136.95,3111.75,3128.40,568250
25-May-23,3101.50,3129.00,3086.00,3123.55,500310
24-May-23,3115.00,3133.15,3098.00,3101.50,439470
23-May-23,3087.00,3127.95,3085.00,3120.60,581200
22-May-23,3070.00,3105.60,3046.00,3084.90,659430
19-May-23,3124.00,3127.95,3068.05,3084.45,633260
18-May-23,3105.65,3125.00,3093.25,3109.05,498070
17-May-23,3136.00,3147.95,3075.55,3092.45,835370
16-May-23,3132.00,3165.70,3122.35,3138.10,822400
15-May-23,3134.20,3168.00,3121.05,3132.00,810280
12-May-23,3139.00,3179.75,3086.00,3131.10,2000000
11-May-23,3052.05,3156.15,3031.50,3139.75,3230000
10-May-23,3042.95,3057.00,3018.90,3041.40,751850
09-May-23,3016.05,3074.80,3010.75,3034.80,1030000
