Date,Open Price,High Price,Low Price,Close Price,No. of Shares
06-jun-23,2640.05,2646.80,2625.00,2639.10,90.67K
05-jun-23,2652.40,2661.95,2641.50,2643.20,78.44K
02-jun-23,2665.95,2665.95,2635.15,2646.30,113.96K
01-jun-23,2673.95,2673.95,2638.35,2645.80,71.46K
31-may-23,2673.05,2685.65,2631.80,2639.75,92.44K
30-may-23,2689.95,2702.00,2673.10,2692.95,87.08K
29-may-23,2671.05,2699.65,2671.05,2690.75,128.78K
26-may-23,2649.70,2657.00,2632.00,2650.15,77.25K
25-may-23,2665.00,2669.00,2633.60,2649.75,20.68K
24-may-23,2696.05,2704.60,2665.00,2670.80,57.18K
23-may-23,2710.00,2717.35,2700.00,2705.25,44.39K
22-may-23,2701.05,2721.10,2694.00,2702.75,33.97K
19-may-23,2726.00,2732.85,2694.00,2711.95,23.81K
18-may-23,2728.00,2732.00,2708.55,2716.35,20.16K
17-may-23,2725.05,2727.00,2689.00,2706.40,20.07K
16-may-23,2768.30,2768.30,2715.10,2722.60,45.82K
15-may-23,2787.95,2795.75,2773.00,2784.05,29.72K
12-may-23,2764.95,2785.00,2749.30,2776.50,35.27K
11-may-23,2772.55,2774.40,2753.75,2767.80,31.05K
10-may-23,2751.60,2755.70,2734.00,2752.70,18.56K
09-may-23,2750.00,2767.00,2736.20,2748.25,14.09K
08-may-23,2710.00,2744.75,2710.00,2735.25,31.59K
