Date,Open Price,High Price,Low Price,Close Price,No. of Shares
06-jun-23,643.50,645.50,637.00,642.80,120.81K
05-jun-23,634.10,646.80,634.10,643.75,188.74K
02-jun-23,654.65,654.65,643.60,645.50,77.94K
01-jun-23,649.45,659.20,647.65,649.35,141.78K
31-may-23,642.00,650.00,640.45,649.45,293.15K
30-may-23,645.00,653.70,625.00,643.80,359.51K
29-may-23,626.05,647.00,626.05,645.60,539.17K
26-may-23,620.05,625.50,619.35,624.35,39.53K
25-may-23,618.65,620.35,616.00,618.45,75.07K
24-may-23,623.10,626.75,618.00,618.90,99.70K
23-may-23,626.05,636.00,622.90,624.45,179.98K
22-may-23,609.10,624.75,607.00,623.60,149.00K
19-may-23,614.00,617.00,604.00,610.35,35.78K
18-may-23,623.55,627.75,613.00,614.80,8.17K
17-may-23,626.00,628.35,618.10,622.85,28.67K
16-may-23,631.50,636.60,624.30,625.80,29.56K
15-may-23,626.95,635.75,624.90,632.10,39.77K
12-may-23,622.05,637.25,622.05,628.35,41.10K
11-may-23,624.05,627.50,624.05,626.40,22.09K
10-may-23,620.30,625.75,618.10,624.20,50.04K
09-may-23,627.00,633.45,620.00,622.30,40.15K
08-may-23,626.05,630.80,626.05,627.80,118.09K
