Date,Open Price,High Price,Low Price,Close Price,No.of Shares
06-Jun-23,588,588.9,583,585.35,11200000
05-Jun-23,588.5,589.8,586,587.2,12920000
02-Jun-23,584.7,588.9,583,587.2,11320000
01-Jun-23,581.8,586.4,581,582.75,17820000
31-May-23,583.8,584.8,577.5,579.85,28800000
30-May-23,595,595.5,591.5,592.8,15030000
29-May-23,590,596.4,588.05,595,18430000
26-May-23,581.25,587.75,580.55,586,9790000
25-May-23,582,582.9,577,581025,16480000
24-May-23,579.8,585.25,578.25,585.7,17620000
23-May-23,578.9,583.7,576.8,581.6,16120000
22-May-23,577.5,580.3,573.45,577.5,21480000
19-May-23,579,586.25,569.9,575.15,42290000
18-May-23,590.3,593.9,571.4,574.2,45660000
17-May-23,586,590.5,579.5,586.3,23740000
16-May-23,584,590.4,582,586.3,22180000
15-May-23,578.75,584,574.65,581.9,11410000
12-May-23,574.7,580.75,571.55,578.15,11320000
11-May-23,572.2,580	572,573.45,16020000
10-May-23,575,575,563.25,572.2,18560000

