Date,Open Price,High Price,Low Price,Close Price,No. of Shares
06-jun-23,64.16,64.91,62.83,63.14,364.82K
05-jun-23,65.01,66.59,64.15,64.42,607.64K
02-jun-23,64.50,66.15,63.95,64.86,832.95K
01-jun-23,61.15,66.31,61.15,63.76,1.36M
31-may-23,60.61,61.80,60.61,61.50,138.75K
30-may-23,61.16,62.20,61.00,61.74,346.32K
29-may-23,61.51,61.90,61.14,61.23,131.41K
26-may-23,61.37,62.00,60.92,61.16,286.81K
25-may-23,61.22,62.36,61.18,61.35,399.34K
24-may-23,61.50,62.34,60.95,61.21,424.95K
23-may-23,60.56,63.75,60.56,61.46,815.52K
22-may-23,60.51,61.40,60.35,60.96,178.03K
19-may-23,61.15,62.89,60.59,60.99,179.84K
18-may-23,62.64,62.65,61.12,61.34,293.17K
17-may-23,62.42,62.94,61.55,62.03,281.71K
16-may-23,62.31,63.41,62.00,62.54,309.93K
15-may-23,61.74,62.94,61.57,62.27,345.63K
12-may-23,62.42,63.25,61.71,61.92,365.30K
11-may-23,62.53,64.28,62.50,62.86,375.42K
10-may-23,62.61,63.50,61.84,62.43,337.99K
09-may-23,65.27,66.20,62.51,62.91,611.42K
08-may-23,67.99,67.99,65.01,65.24,262.15K
