Date,Open Price,High Price,Low Price,Close Price,No. of Shares
06-jun-23,71.43,73.14,71.32,72.36,4.72M
05-jun-23,71.20,72.15,69.57,71.28,5.12M
02-jun-23,69.40,73.20,69.40,71.19,6.56M
01-jun-23,68.80,68.80,67.61,67.92,1.94M
31-may-23,67.25,70.00,66.25,68.53,4.18M
30-may-23,67.13,68.33,66.51,66.83,1.89M
29-may-23,67.42,68.37,66.59,67.08,4.03M
26-may-23,67.20,68.23,65.77,67.29,4.27M
25-may-23,64.45,68.10,64.45,67.32,6.00M
24-may-23,62.84,64.70,62.75,64.44,5.36M
23-may-23,63.20,63.99,62.70,63.25,3.48M
22-may-23,64.54,66.85,62.05,63.57,11.21M
19-may-23,63.95,64.99,63.21,64.54,3.25M
18-may-23,64.11,64.58,63.05,63.45,2.36M
17-may-23,62.92,64.00,62.26,63.33,2.29M
16-may-23,63.99,64.90,62.45,62.92,1.88M
15-may-23,61.99,64.10,61.94,63.68,3.25M
12-may-23,62.51,63.60,61.61,62.57,5.32M
11-may-23,62.50,63.50,62.00,62.51,2.82M
10-may-23,60.82,62.90,60.82,61.70,2.91M
09-may-23,64.80,64.80,60.35,60.94,5.81M
08-may-23,64.41,66.15,63.58,64.89,22.97M
