Date,Open Price,High Price,Low Price,Close Price,No.of Shares
06-Jun-23,8.9,8.95,8.7,8.85,269570
05-Jun-23,9.05,9.1,8.8,8.85,291410
02-Jun-23,8.95,9.1,8.9,9.05,258630
01-Jun-23,8.85,9.15,8.8,9,601440
31-May-23,8.95,9,8.65,8.8,425660
30-May-23,9.65,9,8.65,8.95,585470
29-May-23,8.8,9,8.7,8.8,365810
26-May-23,9.05,9.05,8.75,8.85,468880
25-May-23,8.8,9.1,8.65,8.95,422870
24-May-23,9.4,9.4,8.6,8.85,447810
23-May-23,8.6,9.05,8.3,9,833020
22-May-23,8.6,8.8,8.5,8.65,417210
18-May-23,8.85,8.95,8.4,8.65,436690
18-May-23,8.75,8.9,8.7,8.75,267070
17-May-23,8.9,9,8.75,8.8,243400
16-May-23,8.85,9,8.75,8.85,189930
15-May-23,9.15,9.15,8.8,8.85,300360
12-May-23,9.1,9.2,9,9.05,240780
11-May-23,9.2,9.2,9.05,9.05,171590
10-May-23,9.15,9.25,9,9.1,207620
